,Time,Device ID,Device ID_Unit,Warm?,Sync,Arm,Arm_Unit,Timestamp,Timestamp_Unit,Orientation_W,Orientation_W_Unit,Orientation_X,Orientation_X_Unit,Orientation_Y,Orientation_Y_Unit,Orientation_Z,Orientation_Z_Unit,Acc_X,Acc_X_Unit,Acc_Y,Acc_Y_Unit,Acc_Z,Acc_Z_Unit,Gyro_X,Gyro_X_Unit,Gyro_Y,Gyro_Y_Unit,Gyro_Z,Gyro_Z_Unit,Pose,Pose_Unit,EMG_1,EMG_1_Unit,EMG_2,EMG_2_Unit,EMG_3,EMG_3_Unit,EMG_4,EMG_4_Unit,EMG_5,EMG_5_Unit,EMG_6,EMG_6_Unit,EMG_7,EMG_7_Unit,EMG_8,EMG_8_Unit,Locked,RSSI,RSSI_Unit,Roll,Roll_Unit,Pitch,Pitch_Unit,Yaw,Yaw_Unit,type,channel_count,nominal_srate,channel_format,source_id,version,created_at,uid,session_id,hostname,v4address,v4data_port,v4service_port,v6address,v6data_port,v6service_port,stream_id,effective_srate
0,744436.1482793151,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.1,Time,-0.72650146,Degrees,0.6034546,Degrees,0.07373047,Degrees,-0.3203125,Degrees,-0.29345703,g,-0.9091797,g,0.26123047,g,1.375,Degrees,0.375,Degrees,-1.1875,Degrees,-1.0,Pose,1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-3.0,mVolts,-34.0,mVolts,0.0,mVolts,0.0,0.0,Strength,-1.2957041,Degrees,0.28322905,Degrees,0.61554825,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
1,744436.1532927918,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.1,Time,-0.72650146,Degrees,0.6034546,Degrees,0.07373047,Degrees,-0.3203125,Degrees,-0.29345703,g,-0.9091797,g,0.26123047,g,1.375,Degrees,0.375,Degrees,-1.1875,Degrees,-1.0,Pose,-3.0,mVolts,-1.0,mVolts,-2.0,mVolts,-2.0,mVolts,-2.0,mVolts,-2.0,mVolts,23.0,mVolts,-6.0,mVolts,0.0,0.0,Strength,-1.2957041,Degrees,0.28322905,Degrees,0.61554825,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
2,744436.1583062686,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.1,Time,-0.72650146,Degrees,0.6034546,Degrees,0.07373047,Degrees,-0.3203125,Degrees,-0.29345703,g,-0.9091797,g,0.26123047,g,1.375,Degrees,0.375,Degrees,-1.1875,Degrees,-1.0,Pose,1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-1.0,mVolts,2.0,mVolts,28.0,mVolts,5.0,mVolts,0.0,0.0,Strength,-1.2957041,Degrees,0.28322905,Degrees,0.61554825,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
3,744436.1633197453,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.1,Time,-0.72650146,Degrees,0.6034546,Degrees,0.07373047,Degrees,-0.3203125,Degrees,-0.29345703,g,-0.9091797,g,0.26123047,g,1.375,Degrees,0.375,Degrees,-1.1875,Degrees,-1.0,Pose,0.0,mVolts,1.0,mVolts,-1.0,mVolts,-3.0,mVolts,1.0,mVolts,5.0,mVolts,10.0,mVolts,2.0,mVolts,0.0,0.0,Strength,-1.2957041,Degrees,0.28322905,Degrees,0.61554825,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
4,744436.1683332222,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.2,Time,-0.7266846,Degrees,0.60339355,Degrees,0.07366943,Degrees,-0.3201294,Degrees,-0.28808594,g,-0.9067383,g,0.25585938,g,0.8125,Degrees,0.75,Degrees,-1.5625,Degrees,-1.0,Pose,-4.0,mVolts,-1.0,mVolts,0.0,mVolts,-3.0,mVolts,-2.0,mVolts,-5.0,mVolts,-9.0,mVolts,-6.0,mVolts,0.0,0.0,Strength,-1.2955573,Degrees,0.28302246,Degrees,0.61519957,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
5,744436.1733466989,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.2,Time,-0.7266846,Degrees,0.60339355,Degrees,0.07366943,Degrees,-0.3201294,Degrees,-0.28808594,g,-0.9067383,g,0.25585938,g,0.8125,Degrees,0.75,Degrees,-1.5625,Degrees,-1.0,Pose,1.0,mVolts,1.0,mVolts,2.0,mVolts,2.0,mVolts,3.0,mVolts,-2.0,mVolts,-7.0,mVolts,3.0,mVolts,0.0,0.0,Strength,-1.2955573,Degrees,0.28302246,Degrees,0.61519957,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
6,744436.1783601756,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.2,Time,-0.7266846,Degrees,0.60339355,Degrees,0.07366943,Degrees,-0.3201294,Degrees,-0.28808594,g,-0.9067383,g,0.25585938,g,0.8125,Degrees,0.75,Degrees,-1.5625,Degrees,-1.0,Pose,1.0,mVolts,1.0,mVolts,1.0,mVolts,2.0,mVolts,3.0,mVolts,3.0,mVolts,21.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.2955573,Degrees,0.28302246,Degrees,0.61519957,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
7,744436.1833736524,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.2,Time,-0.7266846,Degrees,0.60339355,Degrees,0.07366943,Degrees,-0.3201294,Degrees,-0.28808594,g,-0.9067383,g,0.25585938,g,0.8125,Degrees,0.75,Degrees,-1.5625,Degrees,-1.0,Pose,-1.0,mVolts,0.0,mVolts,0.0,mVolts,0.0,mVolts,-3.0,mVolts,1.0,mVolts,-7.0,mVolts,2.0,mVolts,0.0,0.0,Strength,-1.2955573,Degrees,0.28302246,Degrees,0.61519957,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
8,744436.1883871291,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.2,Time,-0.7269287,Degrees,0.60321045,Degrees,0.07354736,Degrees,-0.31988525,Degrees,-0.28564453,g,-0.89453125,g,0.25830078,g,1.3125,Degrees,0.875,Degrees,-2.375,Degrees,-1.0,Pose,-2.0,mVolts,-1.0,mVolts,-2.0,mVolts,-1.0,mVolts,-4.0,mVolts,-3.0,mVolts,-11.0,mVolts,-9.0,mVolts,0.0,0.0,Strength,-1.2950541,Degrees,0.282741,Degrees,0.614673,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
9,744436.1934006058,2481615500000.0,Number,0.0,1.0,1.0,Arm,744436.2,Time,-0.7269287,Degrees,0.60321045,Degrees,0.07354736,Degrees,-0.31988525,Degrees,-0.28564453,g,-0.89453125,g,0.25830078,g,1.3125,Degrees,0.875,Degrees,-2.375,Degrees,-1.0,Pose,-1.0,mVolts,-1.0,mVolts,0.0,mVolts,-3.0,mVolts,-2.0,mVolts,5.0,mVolts,1.0,mVolts,2.0,mVolts,0.0,0.0,Strength,-1.2950541,Degrees,0.282741,Degrees,0.614673,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.46257711135436
