,Time,Device ID,Device ID_Unit,Warm?,Sync,Arm,Arm_Unit,Timestamp,Timestamp_Unit,Orientation_W,Orientation_W_Unit,Orientation_X,Orientation_X_Unit,Orientation_Y,Orientation_Y_Unit,Orientation_Z,Orientation_Z_Unit,Acc_X,Acc_X_Unit,Acc_Y,Acc_Y_Unit,Acc_Z,Acc_Z_Unit,Gyro_X,Gyro_X_Unit,Gyro_Y,Gyro_Y_Unit,Gyro_Z,Gyro_Z_Unit,Pose,Pose_Unit,EMG_1,EMG_1_Unit,EMG_2,EMG_2_Unit,EMG_3,EMG_3_Unit,EMG_4,EMG_4_Unit,EMG_5,EMG_5_Unit,EMG_6,EMG_6_Unit,EMG_7,EMG_7_Unit,EMG_8,EMG_8_Unit,Locked,RSSI,RSSI_Unit,Roll,Roll_Unit,Pitch,Pitch_Unit,Yaw,Yaw_Unit,type,channel_count,nominal_srate,channel_format,source_id,version,created_at,uid,session_id,hostname,v4address,v4data_port,v4service_port,v6address,v6data_port,v6service_port,stream_id,effective_srate
0,744477.8890270334,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.9,Time,-0.74102783,Degrees,0.598938,Degrees,0.03375244,Degrees,-0.3017578,Degrees,-0.30419922,g,-0.8881836,g,0.2788086,g,-1.5625,Degrees,-0.3125,Degrees,0.25,Degrees,-1.0,Pose,0.0,mVolts,3.0,mVolts,2.0,mVolts,-1.0,mVolts,1.0,mVolts,0.0,mVolts,-4.0,mVolts,0.0,mVolts,0.0,0.0,Strength,-1.271418,Degrees,0.31671375,Degrees,0.538876,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
1,744477.8940400757,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.9,Time,-0.74102783,Degrees,0.598938,Degrees,0.03375244,Degrees,-0.3017578,Degrees,-0.30419922,g,-0.8881836,g,0.2788086,g,-1.5625,Degrees,-0.3125,Degrees,0.25,Degrees,-1.0,Pose,0.0,mVolts,9.0,mVolts,1.0,mVolts,-2.0,mVolts,-1.0,mVolts,5.0,mVolts,26.0,mVolts,5.0,mVolts,0.0,0.0,Strength,-1.271418,Degrees,0.31671375,Degrees,0.538876,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
2,744477.8990531182,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.9,Time,-0.74102783,Degrees,0.598938,Degrees,0.03375244,Degrees,-0.3017578,Degrees,-0.30419922,g,-0.8881836,g,0.2788086,g,-1.5625,Degrees,-0.3125,Degrees,0.25,Degrees,-1.0,Pose,0.0,mVolts,-6.0,mVolts,-2.0,mVolts,0.0,mVolts,1.0,mVolts,-5.0,mVolts,-45.0,mVolts,-6.0,mVolts,0.0,0.0,Strength,-1.271418,Degrees,0.31671375,Degrees,0.538876,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
3,744477.9040661606,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.9,Time,-0.74102783,Degrees,0.598938,Degrees,0.03375244,Degrees,-0.3017578,Degrees,-0.30419922,g,-0.8881836,g,0.2788086,g,-1.5625,Degrees,-0.3125,Degrees,0.25,Degrees,-1.0,Pose,-1.0,mVolts,-3.0,mVolts,-1.0,mVolts,1.0,mVolts,4.0,mVolts,1.0,mVolts,-4.0,mVolts,0.0,mVolts,0.0,0.0,Strength,-1.271418,Degrees,0.31671375,Degrees,0.538876,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
4,744477.9090792029,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74102783,Degrees,0.598938,Degrees,0.03375244,Degrees,-0.3017578,Degrees,-0.30371094,g,-0.88427734,g,0.27392578,g,0.3125,Degrees,0.125,Degrees,0.5,Degrees,-1.0,Pose,0.0,mVolts,-2.0,mVolts,-1.0,mVolts,-3.0,mVolts,-2.0,mVolts,-3.0,mVolts,0.0,mVolts,-2.0,mVolts,0.0,0.0,Strength,-1.271418,Degrees,0.31671375,Degrees,0.538876,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
5,744477.9140922454,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74102783,Degrees,0.598938,Degrees,0.03375244,Degrees,-0.3017578,Degrees,-0.30371094,g,-0.88427734,g,0.27392578,g,0.3125,Degrees,0.125,Degrees,0.5,Degrees,-1.0,Pose,1.0,mVolts,8.0,mVolts,0.0,mVolts,0.0,mVolts,0.0,mVolts,-1.0,mVolts,7.0,mVolts,4.0,mVolts,0.0,0.0,Strength,-1.271418,Degrees,0.31671375,Degrees,0.538876,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
6,744477.9191052878,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74102783,Degrees,0.598938,Degrees,0.03375244,Degrees,-0.3017578,Degrees,-0.30371094,g,-0.88427734,g,0.27392578,g,0.3125,Degrees,0.125,Degrees,0.5,Degrees,-1.0,Pose,-2.0,mVolts,-3.0,mVolts,0.0,mVolts,-4.0,mVolts,-2.0,mVolts,-3.0,mVolts,-26.0,mVolts,-7.0,mVolts,0.0,0.0,Strength,-1.271418,Degrees,0.31671375,Degrees,0.538876,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
7,744477.9241183301,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74102783,Degrees,0.598938,Degrees,0.03375244,Degrees,-0.3017578,Degrees,-0.30371094,g,-0.88427734,g,0.27392578,g,0.3125,Degrees,0.125,Degrees,0.5,Degrees,-1.0,Pose,-2.0,mVolts,1.0,mVolts,2.0,mVolts,6.0,mVolts,2.0,mVolts,3.0,mVolts,25.0,mVolts,7.0,mVolts,0.0,0.0,Strength,-1.271418,Degrees,0.31671375,Degrees,0.538876,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
8,744477.9291313726,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.7411499,Degrees,0.5987549,Degrees,0.03363037,Degrees,-0.3017578,Degrees,-0.31152344,g,-0.8823242,g,0.27001953,g,1.3125,Degrees,-0.0625,Degrees,-0.25,Degrees,-1.0,Pose,-2.0,mVolts,-4.0,mVolts,-1.0,mVolts,-3.0,mVolts,2.0,mVolts,0.0,mVolts,-10.0,mVolts,-5.0,mVolts,0.0,0.0,Strength,-1.2708986,Degrees,0.3167792,Degrees,0.53879046,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
9,744477.934144415,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.7411499,Degrees,0.5987549,Degrees,0.03363037,Degrees,-0.3017578,Degrees,-0.31152344,g,-0.8823242,g,0.27001953,g,1.3125,Degrees,-0.0625,Degrees,-0.25,Degrees,-1.0,Pose,-1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-9.0,mVolts,-3.0,mVolts,-1.0,mVolts,-1.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.2708986,Degrees,0.3167792,Degrees,0.53879046,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
10,744477.9391574573,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.7411499,Degrees,0.5987549,Degrees,0.03363037,Degrees,-0.3017578,Degrees,-0.31152344,g,-0.8823242,g,0.27001953,g,1.3125,Degrees,-0.0625,Degrees,-0.25,Degrees,-1.0,Pose,3.0,mVolts,11.0,mVolts,2.0,mVolts,7.0,mVolts,-1.0,mVolts,0.0,mVolts,8.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.2708986,Degrees,0.3167792,Degrees,0.53879046,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
11,744477.9441704998,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.7411499,Degrees,0.5987549,Degrees,0.03363037,Degrees,-0.3017578,Degrees,-0.31152344,g,-0.8823242,g,0.27001953,g,1.3125,Degrees,-0.0625,Degrees,-0.25,Degrees,-1.0,Pose,-11.0,mVolts,-24.0,mVolts,3.0,mVolts,6.0,mVolts,-1.0,mVolts,-1.0,mVolts,-2.0,mVolts,-8.0,mVolts,0.0,0.0,Strength,-1.2708986,Degrees,0.3167792,Degrees,0.53879046,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
12,744477.9491835422,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74108887,Degrees,0.5987549,Degrees,0.033691406,Degrees,-0.30200195,Degrees,-0.31591797,g,-0.88378906,g,0.26123047,g,0.5,Degrees,-1.4375,Degrees,0.0,Degrees,-1.0,Pose,2.0,mVolts,14.0,mVolts,1.0,mVolts,-4.0,mVolts,-3.0,mVolts,2.0,mVolts,21.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,-1.2709007,Degrees,0.31699598,Degrees,0.53931373,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
13,744477.9541965845,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74108887,Degrees,0.5987549,Degrees,0.033691406,Degrees,-0.30200195,Degrees,-0.31591797,g,-0.88378906,g,0.26123047,g,0.5,Degrees,-1.4375,Degrees,0.0,Degrees,-1.0,Pose,-6.0,mVolts,-1.0,mVolts,2.0,mVolts,2.0,mVolts,-4.0,mVolts,-2.0,mVolts,-10.0,mVolts,3.0,mVolts,0.0,0.0,Strength,-1.2709007,Degrees,0.31699598,Degrees,0.53931373,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
14,744477.959209627,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74108887,Degrees,0.5987549,Degrees,0.033691406,Degrees,-0.30200195,Degrees,-0.31591797,g,-0.88378906,g,0.26123047,g,0.5,Degrees,-1.4375,Degrees,0.0,Degrees,-1.0,Pose,-1.0,mVolts,-6.0,mVolts,-5.0,mVolts,-1.0,mVolts,-3.0,mVolts,-2.0,mVolts,10.0,mVolts,0.0,mVolts,0.0,0.0,Strength,-1.2709007,Degrees,0.31699598,Degrees,0.53931373,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
15,744477.9642226694,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74108887,Degrees,0.5987549,Degrees,0.033691406,Degrees,-0.30200195,Degrees,-0.31591797,g,-0.88378906,g,0.26123047,g,0.5,Degrees,-1.4375,Degrees,0.0,Degrees,-1.0,Pose,11.0,mVolts,6.0,mVolts,-1.0,mVolts,5.0,mVolts,-1.0,mVolts,-6.0,mVolts,-14.0,mVolts,-18.0,mVolts,0.0,0.0,Strength,-1.2709007,Degrees,0.31699598,Degrees,0.53931373,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
16,744477.9692357117,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74090576,Degrees,0.59869385,Degrees,0.03375244,Degrees,-0.30249023,Degrees,-0.3203125,g,-0.8857422,g,0.25585938,g,1.0625,Degrees,-2.875,Degrees,1.375,Degrees,-1.0,Pose,-3.0,mVolts,-8.0,mVolts,-1.0,mVolts,3.0,mVolts,-6.0,mVolts,-2.0,mVolts,-4.0,mVolts,-2.0,mVolts,0.0,0.0,Strength,-1.2706875,Degrees,0.31749037,Degrees,0.5402532,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
17,744477.9742487542,2481615500000.0,Number,0.0,1.0,1.0,Arm,744477.94,Time,-0.74090576,Degrees,0.59869385,Degrees,0.03375244,Degrees,-0.30249023,Degrees,-0.3203125,g,-0.8857422,g,0.25585938,g,1.0625,Degrees,-2.875,Degrees,1.375,Degrees,-1.0,Pose,4.0,mVolts,9.0,mVolts,1.0,mVolts,-2.0,mVolts,0.0,mVolts,0.0,mVolts,2.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,-1.2706875,Degrees,0.31749037,Degrees,0.5402532,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
18,744477.9792617966,2481615500000.0,Number,0.0,1.0,1.0,Arm,744478.0,Time,-0.74090576,Degrees,0.59869385,Degrees,0.03375244,Degrees,-0.30249023,Degrees,-0.3203125,g,-0.8857422,g,0.25585938,g,1.0625,Degrees,-2.875,Degrees,1.375,Degrees,-1.0,Pose,7.0,mVolts,-5.0,mVolts,-1.0,mVolts,-7.0,mVolts,-1.0,mVolts,0.0,mVolts,-4.0,mVolts,-3.0,mVolts,0.0,0.0,Strength,-1.2706875,Degrees,0.31749037,Degrees,0.5402532,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
19,744477.9842748389,2481615500000.0,Number,0.0,1.0,1.0,Arm,744478.0,Time,-0.74090576,Degrees,0.59869385,Degrees,0.03375244,Degrees,-0.30249023,Degrees,-0.3203125,g,-0.8857422,g,0.25585938,g,1.0625,Degrees,-2.875,Degrees,1.375,Degrees,-1.0,Pose,7.0,mVolts,4.0,mVolts,-2.0,mVolts,-2.0,mVolts,1.0,mVolts,0.0,mVolts,17.0,mVolts,20.0,mVolts,0.0,0.0,Strength,-1.2706875,Degrees,0.31749037,Degrees,0.5402532,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
20,744477.9892878814,2481615500000.0,Number,0.0,1.0,1.0,Arm,744478.0,Time,-0.74121094,Degrees,0.5980835,Degrees,0.033569336,Degrees,-0.30303955,Degrees,-0.3100586,g,-0.89501953,g,0.2475586,g,5.75,Degrees,-2.6875,Degrees,2.0,Degrees,-1.0,Pose,10.0,mVolts,0.0,mVolts,-1.0,mVolts,-2.0,mVolts,2.0,mVolts,-3.0,mVolts,-8.0,mVolts,6.0,mVolts,0.0,0.0,Strength,-1.2690026,Degrees,0.31805742,Degrees,0.54126704,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
21,744477.9943009238,2481615500000.0,Number,0.0,1.0,1.0,Arm,744478.0,Time,-0.74121094,Degrees,0.5980835,Degrees,0.033569336,Degrees,-0.30303955,Degrees,-0.3100586,g,-0.89501953,g,0.2475586,g,5.75,Degrees,-2.6875,Degrees,2.0,Degrees,-1.0,Pose,0.0,mVolts,1.0,mVolts,-3.0,mVolts,0.0,mVolts,0.0,mVolts,-2.0,mVolts,10.0,mVolts,-4.0,mVolts,0.0,0.0,Strength,-1.2690026,Degrees,0.31805742,Degrees,0.54126704,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.47986652933452
