,Time,Device ID,Device ID_Unit,Warm?,Sync,Arm,Arm_Unit,Timestamp,Timestamp_Unit,Orientation_W,Orientation_W_Unit,Orientation_X,Orientation_X_Unit,Orientation_Y,Orientation_Y_Unit,Orientation_Z,Orientation_Z_Unit,Acc_X,Acc_X_Unit,Acc_Y,Acc_Y_Unit,Acc_Z,Acc_Z_Unit,Gyro_X,Gyro_X_Unit,Gyro_Y,Gyro_Y_Unit,Gyro_Z,Gyro_Z_Unit,Pose,Pose_Unit,EMG_1,EMG_1_Unit,EMG_2,EMG_2_Unit,EMG_3,EMG_3_Unit,EMG_4,EMG_4_Unit,EMG_5,EMG_5_Unit,EMG_6,EMG_6_Unit,EMG_7,EMG_7_Unit,EMG_8,EMG_8_Unit,Locked,RSSI,RSSI_Unit,Roll,Roll_Unit,Pitch,Pitch_Unit,Yaw,Yaw_Unit,type,channel_count,nominal_srate,channel_format,source_id,version,created_at,uid,session_id,hostname,v4address,v4data_port,v4service_port,v6address,v6data_port,v6service_port,stream_id,effective_srate
0,743777.7687149902,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.75,Time,-0.5037842,Degrees,0.43463135,Degrees,0.44500732,Degrees,-0.59936523,Degrees,-0.06738281,g,-0.94628906,g,0.23046875,g,-1.25,Degrees,-0.75,Degrees,-0.25,Degrees,-1.0,Pose,-2.0,mVolts,0.0,mVolts,0.0,mVolts,0.0,mVolts,0.0,mVolts,1.0,mVolts,3.0,mVolts,-4.0,mVolts,0.0,0.0,Strength,-1.3420757,Degrees,0.07269455,Degrees,1.6858975,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
1,743777.7737287218,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.75,Time,-0.5037842,Degrees,0.43463135,Degrees,0.44500732,Degrees,-0.59936523,Degrees,-0.06738281,g,-0.94628906,g,0.23046875,g,-1.25,Degrees,-0.75,Degrees,-0.25,Degrees,-1.0,Pose,0.0,mVolts,0.0,mVolts,1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-3.0,mVolts,-8.0,mVolts,-4.0,mVolts,0.0,0.0,Strength,-1.3420757,Degrees,0.07269455,Degrees,1.6858975,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
2,743777.7787424534,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.75,Time,-0.5037842,Degrees,0.43463135,Degrees,0.44500732,Degrees,-0.59936523,Degrees,-0.06738281,g,-0.94628906,g,0.23046875,g,-1.25,Degrees,-0.75,Degrees,-0.25,Degrees,-1.0,Pose,-2.0,mVolts,-1.0,mVolts,-1.0,mVolts,0.0,mVolts,-1.0,mVolts,-4.0,mVolts,-2.0,mVolts,-3.0,mVolts,0.0,0.0,Strength,-1.3420757,Degrees,0.07269455,Degrees,1.6858975,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
3,743777.783756185,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.75,Time,-0.5037842,Degrees,0.43463135,Degrees,0.44500732,Degrees,-0.59936523,Degrees,-0.06738281,g,-0.94628906,g,0.23046875,g,-1.25,Degrees,-0.75,Degrees,-0.25,Degrees,-1.0,Pose,0.0,mVolts,-1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-4.0,mVolts,-4.0,mVolts,1.0,mVolts,-3.0,mVolts,0.0,0.0,Strength,-1.3420757,Degrees,0.07269455,Degrees,1.6858975,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
4,743777.7887699166,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.8,Time,-0.50372314,Degrees,0.43463135,Degrees,0.44525146,Degrees,-0.5993042,Degrees,-0.064941406,g,-0.9580078,g,0.22314453,g,-1.3125,Degrees,-0.5625,Degrees,-0.1875,Degrees,-1.0,Pose,-2.0,mVolts,-2.0,mVolts,-1.0,mVolts,0.0,mVolts,1.0,mVolts,4.0,mVolts,8.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.3425423,Degrees,0.07244921,Degrees,1.6861757,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
5,743777.7937836482,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.8,Time,-0.50372314,Degrees,0.43463135,Degrees,0.44525146,Degrees,-0.5993042,Degrees,-0.064941406,g,-0.9580078,g,0.22314453,g,-1.3125,Degrees,-0.5625,Degrees,-0.1875,Degrees,-1.0,Pose,-1.0,mVolts,-1.0,mVolts,0.0,mVolts,-1.0,mVolts,0.0,mVolts,-3.0,mVolts,-4.0,mVolts,-5.0,mVolts,0.0,0.0,Strength,-1.3425423,Degrees,0.07244921,Degrees,1.6861757,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
6,743777.7987973797,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.8,Time,-0.50372314,Degrees,0.43463135,Degrees,0.44525146,Degrees,-0.5993042,Degrees,-0.064941406,g,-0.9580078,g,0.22314453,g,-1.3125,Degrees,-0.5625,Degrees,-0.1875,Degrees,-1.0,Pose,0.0,mVolts,-3.0,mVolts,0.0,mVolts,0.0,mVolts,-3.0,mVolts,-8.0,mVolts,-5.0,mVolts,2.0,mVolts,0.0,0.0,Strength,-1.3425423,Degrees,0.07244921,Degrees,1.6861757,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
7,743777.8038111114,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.8,Time,-0.50372314,Degrees,0.43463135,Degrees,0.44525146,Degrees,-0.5993042,Degrees,-0.064941406,g,-0.9580078,g,0.22314453,g,-1.3125,Degrees,-0.5625,Degrees,-0.1875,Degrees,-1.0,Pose,-1.0,mVolts,0.0,mVolts,1.0,mVolts,-1.0,mVolts,-1.0,mVolts,1.0,mVolts,-2.0,mVolts,-3.0,mVolts,0.0,0.0,Strength,-1.3425423,Degrees,0.07244921,Degrees,1.6861757,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
8,743777.8088248429,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.8,Time,-0.50372314,Degrees,0.43463135,Degrees,0.44525146,Degrees,-0.5993042,Degrees,-0.068359375,g,-0.9658203,g,0.22021484,g,0.4375,Degrees,-0.3125,Degrees,-0.25,Degrees,-1.0,Pose,-2.0,mVolts,0.0,mVolts,-1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-2.0,mVolts,-1.0,mVolts,-4.0,mVolts,0.0,0.0,Strength,-1.3425423,Degrees,0.07244921,Degrees,1.6861757,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
9,743777.8138385746,2481615500000.0,Number,0.0,1.0,1.0,Arm,743777.8,Time,-0.50372314,Degrees,0.43463135,Degrees,0.44525146,Degrees,-0.5993042,Degrees,-0.068359375,g,-0.9658203,g,0.22021484,g,0.4375,Degrees,-0.3125,Degrees,-0.25,Degrees,-1.0,Pose,1.0,mVolts,0.0,mVolts,0.0,mVolts,-1.0,mVolts,2.0,mVolts,-3.0,mVolts,-4.0,mVolts,4.0,mVolts,0.0,0.0,Strength,-1.3425423,Degrees,0.07244921,Degrees,1.6861757,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.4526688552581
