,Time,Device ID,Device ID_Unit,Warm?,Sync,Arm,Arm_Unit,Timestamp,Timestamp_Unit,Orientation_W,Orientation_W_Unit,Orientation_X,Orientation_X_Unit,Orientation_Y,Orientation_Y_Unit,Orientation_Z,Orientation_Z_Unit,Acc_X,Acc_X_Unit,Acc_Y,Acc_Y_Unit,Acc_Z,Acc_Z_Unit,Gyro_X,Gyro_X_Unit,Gyro_Y,Gyro_Y_Unit,Gyro_Z,Gyro_Z_Unit,Pose,Pose_Unit,EMG_1,EMG_1_Unit,EMG_2,EMG_2_Unit,EMG_3,EMG_3_Unit,EMG_4,EMG_4_Unit,EMG_5,EMG_5_Unit,EMG_6,EMG_6_Unit,EMG_7,EMG_7_Unit,EMG_8,EMG_8_Unit,Locked,RSSI,RSSI_Unit,Roll,Roll_Unit,Pitch,Pitch_Unit,Yaw,Yaw_Unit,type,channel_count,nominal_srate,channel_format,source_id,version,created_at,uid,session_id,hostname,v4address,v4data_port,v4service_port,v6address,v6data_port,v6service_port,stream_id,effective_srate
0,744349.8606184875,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890259,Degrees,0.6114502,Degrees,0.14324951,Degrees,-0.3618164,Degrees,-0.2631836,g,-0.9375,g,0.20751953,g,-0.875,Degrees,1.375,Degrees,-2.6875,Degrees,-1.0,Pose,0.0,mVolts,-2.0,mVolts,-2.0,mVolts,-1.0,mVolts,-2.0,mVolts,-1.0,mVolts,11.0,mVolts,0.0,mVolts,0.0,0.0,Strength,-1.3511868,Degrees,0.24758177,Degrees,0.76836354,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
1,744349.8656313425,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890259,Degrees,0.6114502,Degrees,0.14324951,Degrees,-0.3618164,Degrees,-0.2631836,g,-0.9375,g,0.20751953,g,-0.875,Degrees,1.375,Degrees,-2.6875,Degrees,-1.0,Pose,0.0,mVolts,0.0,mVolts,-2.0,mVolts,-1.0,mVolts,1.0,mVolts,3.0,mVolts,10.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.3511868,Degrees,0.24758177,Degrees,0.76836354,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
2,744349.8706441975,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890259,Degrees,0.61157227,Degrees,0.14324951,Degrees,-0.36151123,Degrees,-0.2631836,g,-0.93896484,g,0.19726562,g,0.0625,Degrees,0.625,Degrees,-2.5625,Degrees,-1.0,Pose,-2.0,mVolts,-1.0,mVolts,-1.0,mVolts,-1.0,mVolts,-3.0,mVolts,-5.0,mVolts,-25.0,mVolts,-5.0,mVolts,0.0,0.0,Strength,-1.3515055,Degrees,0.24728788,Degrees,0.7677612,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
3,744349.8756570525,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890259,Degrees,0.61157227,Degrees,0.14324951,Degrees,-0.36151123,Degrees,-0.2631836,g,-0.93896484,g,0.19726562,g,0.0625,Degrees,0.625,Degrees,-2.5625,Degrees,-1.0,Pose,4.0,mVolts,0.0,mVolts,0.0,mVolts,1.0,mVolts,3.0,mVolts,5.0,mVolts,21.0,mVolts,2.0,mVolts,0.0,0.0,Strength,-1.3515055,Degrees,0.24728788,Degrees,0.7677612,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
4,744349.8806699076,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890259,Degrees,0.61157227,Degrees,0.14324951,Degrees,-0.36151123,Degrees,-0.2631836,g,-0.93896484,g,0.19726562,g,0.0625,Degrees,0.625,Degrees,-2.5625,Degrees,-1.0,Pose,-2.0,mVolts,-1.0,mVolts,-1.0,mVolts,0.0,mVolts,1.0,mVolts,-7.0,mVolts,-51.0,mVolts,-7.0,mVolts,0.0,0.0,Strength,-1.3515055,Degrees,0.24728788,Degrees,0.7677612,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
5,744349.8856827626,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890259,Degrees,0.61157227,Degrees,0.14324951,Degrees,-0.36151123,Degrees,-0.2631836,g,-0.93896484,g,0.19726562,g,0.0625,Degrees,0.625,Degrees,-2.5625,Degrees,-1.0,Pose,-1.0,mVolts,-3.0,mVolts,-1.0,mVolts,-3.0,mVolts,0.0,mVolts,1.0,mVolts,12.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,-1.3515055,Degrees,0.24728788,Degrees,0.7677612,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
6,744349.8906956175,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890869,Degrees,0.61169434,Degrees,0.14331055,Degrees,-0.3612671,Degrees,-0.25830078,g,-0.94433594,g,0.20751953,g,-0.5625,Degrees,0.75,Degrees,-2.375,Degrees,-1.0,Pose,-1.0,mVolts,-3.0,mVolts,-2.0,mVolts,-2.0,mVolts,-2.0,mVolts,-3.0,mVolts,3.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.35189,Degrees,0.24696608,Degrees,0.7673979,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
7,744349.8957084726,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890869,Degrees,0.61169434,Degrees,0.14331055,Degrees,-0.3612671,Degrees,-0.25830078,g,-0.94433594,g,0.20751953,g,-0.5625,Degrees,0.75,Degrees,-2.375,Degrees,-1.0,Pose,-2.0,mVolts,-2.0,mVolts,-1.0,mVolts,0.0,mVolts,1.0,mVolts,3.0,mVolts,3.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,-1.35189,Degrees,0.24696608,Degrees,0.7673979,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
8,744349.9007213276,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890869,Degrees,0.61169434,Degrees,0.14331055,Degrees,-0.3612671,Degrees,-0.25830078,g,-0.94433594,g,0.20751953,g,-0.5625,Degrees,0.75,Degrees,-2.375,Degrees,-1.0,Pose,1.0,mVolts,0.0,mVolts,1.0,mVolts,0.0,mVolts,-3.0,mVolts,2.0,mVolts,9.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.35189,Degrees,0.24696608,Degrees,0.7673979,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
9,744349.9057341827,2481615500000.0,Number,0.0,1.0,1.0,Arm,744349.9,Time,-0.6890869,Degrees,0.61169434,Degrees,0.14331055,Degrees,-0.3612671,Degrees,-0.25830078,g,-0.94433594,g,0.20751953,g,-0.5625,Degrees,0.75,Degrees,-2.375,Degrees,-1.0,Pose,-2.0,mVolts,1.0,mVolts,-1.0,mVolts,-3.0,mVolts,0.0,mVolts,-2.0,mVolts,0.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.35189,Degrees,0.24696608,Degrees,0.7673979,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.48746873163245
