,Time,Device ID,Device ID_Unit,Warm?,Sync,Arm,Arm_Unit,Timestamp,Timestamp_Unit,Orientation_W,Orientation_W_Unit,Orientation_X,Orientation_X_Unit,Orientation_Y,Orientation_Y_Unit,Orientation_Z,Orientation_Z_Unit,Acc_X,Acc_X_Unit,Acc_Y,Acc_Y_Unit,Acc_Z,Acc_Z_Unit,Gyro_X,Gyro_X_Unit,Gyro_Y,Gyro_Y_Unit,Gyro_Z,Gyro_Z_Unit,Pose,Pose_Unit,EMG_1,EMG_1_Unit,EMG_2,EMG_2_Unit,EMG_3,EMG_3_Unit,EMG_4,EMG_4_Unit,EMG_5,EMG_5_Unit,EMG_6,EMG_6_Unit,EMG_7,EMG_7_Unit,EMG_8,EMG_8_Unit,Locked,RSSI,RSSI_Unit,Roll,Roll_Unit,Pitch,Pitch_Unit,Yaw,Yaw_Unit,type,channel_count,nominal_srate,channel_format,source_id,version,created_at,uid,session_id,hostname,v4address,v4data_port,v4service_port,v6address,v6data_port,v6service_port,stream_id,effective_srate
0,743740.97219268,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.06982422,g,-0.96191406,g,0.16845703,g,-1.375,Degrees,0.375,Degrees,0.0625,Degrees,-1.0,Pose,-1.0,mVolts,1.0,mVolts,-2.0,mVolts,1.0,mVolts,-1.0,mVolts,1.0,mVolts,6.0,mVolts,0.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
1,743740.9772053189,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.06982422,g,-0.96191406,g,0.16845703,g,-1.375,Degrees,0.375,Degrees,0.0625,Degrees,-1.0,Pose,0.0,mVolts,0.0,mVolts,0.0,mVolts,-1.0,mVolts,-2.0,mVolts,0.0,mVolts,5.0,mVolts,2.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
2,743740.9822179578,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.07080078,g,-0.9746094,g,0.17138672,g,-0.5625,Degrees,-0.0625,Degrees,0.0,Degrees,-1.0,Pose,1.0,mVolts,0.0,mVolts,-1.0,mVolts,-2.0,mVolts,-1.0,mVolts,-6.0,mVolts,0.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
3,743740.9872305967,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.07080078,g,-0.9746094,g,0.17138672,g,-0.5625,Degrees,-0.0625,Degrees,0.0,Degrees,-1.0,Pose,-1.0,mVolts,-2.0,mVolts,-1.0,mVolts,-1.0,mVolts,-2.0,mVolts,-4.0,mVolts,-14.0,mVolts,-2.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
4,743740.9922432357,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.07080078,g,-0.9746094,g,0.17138672,g,-0.5625,Degrees,-0.0625,Degrees,0.0,Degrees,-1.0,Pose,1.0,mVolts,-2.0,mVolts,-1.0,mVolts,1.0,mVolts,1.0,mVolts,1.0,mVolts,1.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
5,743740.9972558746,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.07080078,g,-0.9746094,g,0.17138672,g,-0.5625,Degrees,-0.0625,Degrees,0.0,Degrees,-1.0,Pose,1.0,mVolts,0.0,mVolts,-2.0,mVolts,-2.0,mVolts,1.0,mVolts,0.0,mVolts,0.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
6,743741.0022685134,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.064453125,g,-0.9794922,g,0.16796875,g,-0.625,Degrees,-0.25,Degrees,0.1875,Degrees,-1.0,Pose,-2.0,mVolts,0.0,mVolts,2.0,mVolts,-2.0,mVolts,-1.0,mVolts,3.0,mVolts,3.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
7,743741.0072811524,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.064453125,g,-0.9794922,g,0.16796875,g,-0.625,Degrees,-0.25,Degrees,0.1875,Degrees,-1.0,Pose,-2.0,mVolts,0.0,mVolts,0.0,mVolts,1.0,mVolts,2.0,mVolts,-1.0,mVolts,-13.0,mVolts,1.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
8,743741.0122937913,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.064453125,g,-0.9794922,g,0.16796875,g,-0.625,Degrees,-0.25,Degrees,0.1875,Degrees,-1.0,Pose,-3.0,mVolts,0.0,mVolts,-2.0,mVolts,-2.0,mVolts,-3.0,mVolts,-7.0,mVolts,1.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
9,743741.0173064301,2481615500000.0,Number,0.0,1.0,1.0,Arm,743741.0,Time,-0.52648926,Degrees,0.47558594,Degrees,0.43597412,Degrees,-0.55371094,Degrees,-0.064453125,g,-0.9794922,g,0.16796875,g,-0.625,Degrees,-0.25,Degrees,0.1875,Degrees,-1.0,Pose,-2.0,mVolts,-2.0,mVolts,0.0,mVolts,-1.0,mVolts,1.0,mVolts,7.0,mVolts,11.0,mVolts,0.0,mVolts,0.0,0.0,Strength,-1.4021305,Degrees,0.06765448,Degrees,1.5641198,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,743656.78212310001,7e0df7d8-5365-4d07-ae81-c8efc8e3f979,default,gle-1000-pc08,,16576,16576,,16576,16576,1,199.49604791864917
